Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-chelsea,38,29,1,8,72,15,95,2.5
fc-arsenal,38,25,5,8,87,36,83,2.1842105263157894
manchester-united,38,22,5,11,58,26,77,2.026315789473684
fc-everton,38,18,13,7,45,46,61,1.605263157894737
fc-liverpool,38,17,14,7,52,41,58,1.5263157894736843
bolton-wanderers,38,16,12,10,49,44,58,1.5263157894736843
fc-middlesbrough,38,14,11,13,53,46,55,1.4473684210526316
manchester-city,38,13,12,13,47,39,52,1.368421052631579
tottenham-hotspur,38,14,14,10,47,41,52,1.368421052631579
aston-villa,38,12,15,11,45,52,47,1.236842105263158
charlton-athletic,38,12,16,10,42,58,46,1.2105263157894737
birmingham-city,38,11,15,12,40,46,45,1.1842105263157894
fc-fulham,38,12,18,8,52,60,44,1.1578947368421053
newcastle-united,38,10,14,14,47,57,44,1.1578947368421053
blackburn-rovers,38,9,14,15,32,43,42,1.105263157894737
fc-portsmouth,38,10,19,9,43,59,39,1.0263157894736843
west-bromwich-albion,38,6,16,16,36,61,34,0.8947368421052632
crystal-palace,38,7,19,12,41,62,33,0.868421052631579
norwich-city,38,7,19,12,42,77,33,0.868421052631579
fc-southampton,38,6,18,14,45,66,32,0.8421052631578947
