Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
olympique-lyon,38,25,4,9,73,31,84,2.210526315789474
fc-girondins-bordeaux,38,18,5,15,43,25,69,1.8157894736842106
osc-lille,38,16,8,14,56,31,62,1.631578947368421
rc-lens,38,14,6,18,48,34,60,1.5789473684210527
olympique-marseille,38,16,10,12,44,35,60,1.5789473684210527
aj-auxerre,38,17,13,8,50,39,59,1.5526315789473684
fc-stade-rennes,38,18,15,5,48,49,59,1.5526315789473684
ogc-nizza,38,16,12,10,36,31,58,1.5263157894736843
fc-paris-saint-germain,38,13,12,13,44,38,52,1.368421052631579
as-monaco,38,13,12,13,42,36,52,1.368421052631579
fc-le-mans,38,13,12,13,33,36,52,1.368421052631579
as-nancy-lorraine,38,12,14,12,35,37,48,1.263157894736842
as-saint-etienne,38,11,13,14,29,39,47,1.236842105263158
fc-nantes,38,11,15,12,37,41,45,1.1842105263157894
fc-sochaux-montbeliard,38,11,16,11,34,47,44,1.1578947368421053
fc-toulouse,38,10,17,11,36,47,41,1.0789473684210527
es-troyes-ac,38,9,17,12,37,47,39,1.0263157894736843
ac-ajaccio,38,8,21,9,27,53,33,0.868421052631579
racing-strassburg,38,5,19,14,33,56,29,0.7631578947368421
fc-metz,38,6,21,11,26,59,29,0.7631578947368421
