Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
sv-werder-bremen,34,22,4,8,79,38,74,2.176470588235294
fc-bayern-munchen,34,20,6,8,70,39,68,2.0
bayer-04-leverkusen,34,19,7,8,73,39,65,1.911764705882353
vfb-stuttgart,34,18,6,10,52,24,64,1.8823529411764706
vfl-bochum,34,15,8,11,57,39,56,1.6470588235294117
borussia-dortmund,34,16,11,7,59,48,55,1.6176470588235294
fc-schalke-04,34,13,10,11,49,42,50,1.4705882352941178
hamburger-sv,34,14,13,7,47,60,49,1.4411764705882353
fc-hansa-rostock,34,12,14,8,55,54,44,1.2941176470588236
vfl-wolfsburg,34,13,18,3,56,61,42,1.2352941176470589
borussia-monchengladbach,34,10,15,9,40,49,39,1.1470588235294117
hertha-bsc,34,9,13,12,42,59,39,1.1470588235294117
sc-freiburg,34,10,16,8,42,67,38,1.1176470588235294
hannover-96,34,9,15,10,49,63,37,1.088235294117647
1-fc-kaiserslautern,34,11,17,6,39,62,36,1.0588235294117647
eintracht-frankfurt,34,9,20,5,36,53,32,0.9411764705882353
tsv-1860-munchen,34,8,18,8,32,55,32,0.9411764705882353
1-fc-koln,34,6,23,5,32,57,23,0.6764705882352942
