Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
inter-mailand,38,25,4,9,70,32,84,2.210526315789474
juventus-turin,38,21,6,11,69,37,74,1.9473684210526316
ac-mailand,38,22,8,8,70,35,74,1.9473684210526316
ac-florenz,38,21,12,5,53,38,68,1.7894736842105263
fc-genua-1893,38,19,8,11,56,39,68,1.7894736842105263
as-rom,38,18,11,9,64,61,63,1.6578947368421053
udinese-calcio,38,16,12,10,61,50,58,1.5263157894736843
us-palermo,38,17,15,6,57,50,57,1.5
cagliari-calcio,38,15,15,8,49,50,53,1.394736842105263
lazio-rom,38,15,18,5,46,55,50,1.3157894736842106
atalanta-bergamo,38,13,17,8,45,48,47,1.236842105263158
ssc-neapel,38,12,16,10,43,45,46,1.2105263157894737
uc-sampdoria,38,11,14,13,49,52,46,1.2105263157894737
ac-siena,38,12,18,8,33,44,44,1.1578947368421053
catania-calcio,38,12,19,7,41,51,43,1.131578947368421
chievo-verona,38,8,16,14,35,49,38,1.0
fc-bologna,38,9,19,10,43,62,37,0.9736842105263158
fc-turin,38,8,20,10,37,61,34,0.8947368421052632
reggina-calcio,38,6,19,13,30,62,31,0.8157894736842105
us-lecce,38,5,18,15,37,67,30,0.7894736842105263
