Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
atletico-madrid,38,28,4,6,77,26,90,2.3684210526315788
fc-barcelona,38,27,5,6,100,33,87,2.289473684210526
real-madrid,38,27,5,6,104,38,87,2.289473684210526
athletic-bilbao,38,20,8,10,66,39,70,1.8421052631578947
fc-sevilla,38,18,11,9,69,52,63,1.6578947368421053
fc-villarreal,38,17,13,8,60,44,59,1.5526315789473684
real-sociedad-san-sebastian,38,16,11,11,62,55,59,1.5526315789473684
fc-valencia,38,13,15,10,51,53,49,1.2894736842105263
celta-vigo,38,14,17,7,49,54,49,1.2894736842105263
ud-levante,38,12,14,12,35,43,48,1.263157894736842
fc-malaga,38,12,17,9,39,46,45,1.1842105263157894
rayo-vallecano,38,13,21,4,46,80,43,1.131578947368421
fc-getafe,38,11,18,9,35,54,42,1.105263157894737
espanyol-barcelona,38,11,18,9,41,51,42,1.105263157894737
fc-granada,38,12,21,5,32,56,41,1.0789473684210527
fc-elche,38,9,16,13,30,50,40,1.0526315789473684
ud-almeria,38,11,20,7,43,71,40,1.0526315789473684
ca-osasuna,38,10,19,9,32,62,39,1.0263157894736843
real-valladolid,38,7,16,15,38,60,36,0.9473684210526315
real-betis-sevilla,38,6,25,7,36,78,25,0.6578947368421053
