Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Manchester United,38,90,28,6,4,68,24
2,Liverpool,38,86,25,11,2,77,27
3,Chelsea,38,83,25,8,5,68,24
4,Arsenal,38,72,20,12,6,68,37
5,Everton,38,63,17,12,9,55,37
6,Aston Villa,38,62,17,11,10,54,48
7,Fulham,38,53,14,11,13,39,34
8,Tottenham,38,51,14,9,15,45,45
9,West Ham,38,51,14,9,15,42,45
10,Manchester City,38,50,15,5,18,58,50
11,Wigan,38,45,12,9,17,34,45
12,Stoke,38,45,12,9,17,38,55
13,Bolton,38,41,11,8,19,41,53
14,Portsmouth,38,41,10,11,17,38,57
15,Blackburn,38,41,10,11,17,40,60
16,Sunderland,38,36,9,9,20,34,54
17,Hull,38,35,8,11,19,39,64
18,Newcastle United,38,34,7,13,18,40,59
19,Middlesbrough,38,32,7,11,20,28,57
20,West Bromwich Albion,38,32,8,8,22,36,67
