Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Lyon,38,84,25,9,4,73,31
2,Bordeaux,38,69,18,15,5,43,25
3,Lille,38,62,16,14,8,56,31
4,Lens,38,60,14,18,6,48,34
5,Marseille,38,60,16,12,10,44,35
6,Auxerre,38,59,17,8,13,50,39
7,Rennes,38,59,18,5,15,48,49
8,Nice,38,58,16,10,12,36,31
9,PSG,38,52,13,13,12,44,38
10,Monaco,38,52,13,13,12,42,36
11,Le Mans,38,52,13,13,12,33,36
12,Nancy,38,48,12,12,14,35,37
13,Saint-Etienne,38,47,11,14,13,29,39
14,Nantes,38,45,11,12,15,37,41
15,Sochaux,38,44,11,11,16,34,47
16,Toulouse,38,41,10,11,17,36,47
17,Troyes,38,39,9,12,17,37,47
18,AC Ajaccio,38,33,8,9,21,27,53
19,Strasbourg,38,29,5,14,19,33,56
20,Metz,38,29,6,11,21,26,59
