Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Wolfsburg,34,69,21,6,7,80,41
2,Bayern Munich,34,67,20,7,7,71,42
3,VfB Stuttgart,34,64,19,7,8,63,43
4,Hertha Berlin,34,63,19,6,9,48,41
5,Hamburger SV,34,61,19,4,11,49,47
6,Borussia Dortmund,34,59,15,14,5,60,37
7,Hoffenheim,34,55,15,10,9,63,49
8,Schalke 04,34,50,14,8,12,47,35
9,Bayer Leverkusen,34,49,14,7,13,59,46
10,Werder Bremen,34,45,12,9,13,64,50
11,Hannover 96,34,40,10,10,14,49,69
12,FC Köln,34,39,11,6,17,35,50
13,Eintracht Frankfurt,34,33,8,9,17,39,60
14,Bochum,34,32,7,11,16,39,55
15,Borussia Moenchengladbach,34,31,8,7,19,39,62
16,Energie Cottbus,34,30,8,6,20,30,57
17,Karlsruher SC,34,29,8,5,21,30,54
18,Arminia Bielefeld,34,28,4,16,14,29,56
