Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Juventus,34,144,21,9,4,64,29
2,Inter,34,130,19,8,7,64,38
3,AC Milan,34,122,18,7,9,55,30
4,Lazio,34,120,15,15,4,57,32
5,Parma,34,112,15,11,8,55,36
6,Udinese,34,112,16,8,10,38,35
7,Chievo,34,110,16,7,11,51,39
8,Roma,34,98,13,10,11,55,46
9,Brescia,34,84,9,15,10,36,38
10,Perugia,34,84,10,12,12,40,48
11,Bologna,34,82,10,11,13,39,47
12,Modena,34,76,9,11,14,30,48
13,Empoli,34,76,9,11,14,36,46
14,Atalanta,34,76,8,14,12,35,47
15,Reggina,34,76,10,8,16,38,53
16,Piacenza,34,60,8,6,20,44,62
17,Como,34,48,4,12,18,29,57
18,Torino,34,42,4,9,21,23,58
