Position,Team,Games,Points,Wins,Draws,Losses,GD,GA
1,Barcelona,38,82,25,7,6,80,35
2,Real Madrid,38,70,20,10,8,70,40
3,Valencia,38,69,19,12,7,58,33
4,Osasuna,38,68,21,5,12,49,43
5,Sevilla,38,68,20,8,10,54,39
6,Celta Vigo,38,64,20,4,14,45,33
7,Villarreal,38,57,14,15,9,50,39
8,Deportivo La Coruna,38,55,15,10,13,47,45
9,Getafe,38,54,15,9,14,54,49
10,Atletico Madrid,38,52,13,13,12,45,37
11,Zaragoza,38,46,10,16,12,46,51
12,Athletic Bilbao,38,45,11,12,15,40,46
13,Mallorca,38,43,10,13,15,37,51
14,Real Betis,38,42,10,12,16,34,51
15,Espanyol,38,41,10,11,17,36,56
16,Real Sociedad,38,40,11,7,20,48,65
17,Racing Santander,38,40,9,13,16,36,49
18,Alaves,38,39,9,12,17,35,54
19,Cadiz,38,36,8,12,18,36,52
20,Malaga,38,24,5,9,24,36,68
