Won,Lost,Draw,GF,GA,PPM,Foreign playing time %,Average age,diversity
25,6,7,73,35,2.1578947368421053,41.014279994661685,23.285714285714285,1.01928502591
24,8,6,66,37,2.0526315789473686,30.40535138448418,25.25,1.01894619859
20,7,11,70,34,1.868421052631579,17.961952906744713,24.133333333333333,1.00982814861
18,11,9,52,35,1.6578947368421053,43.31213580608254,23.692307692307693,1.01846440148
17,9,12,49,32,1.6578947368421053,21.704145795587763,25.766666666666666,1.01290792734
17,11,10,64,44,1.605263157894737,38.085973935985926,25.8,1.01906113046
18,13,7,61,47,1.605263157894737,40.34116734846662,24.193548387096776,1.01667939878
16,9,13,50,38,1.605263157894737,21.257118526797594,23.228571428571428,1.01330011815
15,10,13,50,54,1.5263157894736843,30.41173963992756,24.928571428571427,1.01624562078
14,15,9,43,52,1.3421052631578947,48.45561908833431,25.736842105263158,1.02642379955
12,12,14,46,44,1.3157894736842106,51.9461835620088,26.266666666666666,1.02781121916
11,17,10,35,50,1.131578947368421,32.98124251696156,24.78787878787879,1.01736345947
12,19,7,40,57,1.131578947368421,43.45639379347245,24.41176470588235,1.02440707937
10,17,11,55,70,1.0789473684210527,50.58899121867637,26.06451612903226,1.02453181482
10,18,10,48,61,1.0526315789473684,34.36443497936909,26.0,1.02274869951
8,16,14,42,60,1.0,28.740756560506153,25.612903225806452,1.01522596868
9,18,11,34,52,1.0,20.47464308544641,24.666666666666668,1.01159220532
9,18,11,33,58,1.0,57.02640581569383,24.454545454545453,1.02722160418
9,23,6,38,57,0.868421052631579,27.025947040332465,24.678571428571427,1.01650442072
8,25,5,39,71,0.7631578947368421,48.54208350006669,24.482758620689655,1.02919651674
21,5,12,76,44,1.9736842105263157,55.38658215037153,23.06451612903226,1.03175946357
19,8,11,73,40,1.7894736842105263,29.933186040940186,24.958333333333332,1.01931404013
19,8,11,62,32,1.7894736842105263,21.7805061119451,26.15625,1.01339371524
19,8,11,62,37,1.7894736842105263,34.91117966173811,23.444444444444443,1.01609418792
17,11,10,47,34,1.605263157894737,47.78192482004799,23.76923076923077,1.0219011316
16,11,11,58,55,1.5526315789473684,69.97412712384306,25.875,1.0370306226
14,9,15,50,51,1.5,40.538038446876875,25.916666666666668,1.02275588912
15,12,11,49,46,1.4736842105263157,61.61806959667979,25.576923076923077,1.02823479856
12,15,11,46,54,1.236842105263158,33.511728838831644,26.0,1.01822244616
13,18,7,44,51,1.2105263157894737,32.92192040092768,24.272727272727273,1.02165942717
11,14,13,28,38,1.2105263157894737,36.609356257497,24.12121212121212,1.02081126429
11,14,13,45,58,1.2105263157894737,53.96166134185304,24.8,1.0311416788
9,14,15,42,43,1.105263157894737,50.141167696569354,24.285714285714285,1.02076719419
